state,cluster_2000,dist_1cs_2000,dist_own_2000,extremity_2000,cluster_2001,dist_1cs_2001,dist_own_2001,extremity_2001,dist_1cs_delta_2001,dist_own_delta_2001,extremity_delta_2001,cluster_2002,dist_1cs_2002,dist_own_2002,extremity_2002,dist_1cs_delta_2002,dist_own_delta_2002,extremity_delta_2002,cluster_2003,dist_1cs_2003,dist_own_2003,extremity_2003,dist_1cs_delta_2003,dist_own_delta_2003,extremity_delta_2003,cluster_2004,dist_1cs_2004,dist_own_2004,extremity_2004,dist_1cs_delta_2004,dist_own_delta_2004,extremity_delta_2004,cluster_2005,dist_1cs_2005,dist_own_2005,extremity_2005,dist_1cs_delta_2005,dist_own_delta_2005,extremity_delta_2005,cluster_2006,dist_1cs_2006,dist_own_2006,extremity_2006,dist_1cs_delta_2006,dist_own_delta_2006,extremity_delta_2006,cluster_2007,dist_1cs_2007,dist_own_2007,extremity_2007,dist_1cs_delta_2007,dist_own_delta_2007,extremity_delta_2007,cluster_2008,dist_1cs_2008,dist_own_2008,extremity_2008,dist_1cs_delta_2008,dist_own_delta_2008,extremity_delta_2008,cluster_2009,dist_1cs_2009,dist_own_2009,extremity_2009,dist_1cs_delta_2009,dist_own_delta_2009,extremity_delta_2009,cluster_2010,dist_1cs_2010,dist_own_2010,extremity_2010,dist_1cs_delta_2010,dist_own_delta_2010,extremity_delta_2010,cluster_2011,dist_1cs_2011,dist_own_2011,extremity_2011,dist_1cs_delta_2011,dist_own_delta_2011,extremity_delta_2011,cluster_2012,dist_1cs_2012,dist_own_2012,extremity_2012,dist_1cs_delta_2012,dist_own_delta_2012,extremity_delta_2012,cluster_2013,dist_1cs_2013,dist_own_2013,extremity_2013,dist_1cs_delta_2013,dist_own_delta_2013,extremity_delta_2013,cluster_2014,dist_1cs_2014,dist_own_2014,extremity_2014,dist_1cs_delta_2014,dist_own_delta_2014,extremity_delta_2014,cluster_2015,dist_1cs_2015,dist_own_2015,extremity_2015,dist_1cs_delta_2015,dist_own_delta_2015,extremity_delta_2015,cluster_2016,dist_1cs_2016,dist_own_2016,extremity_2016,dist_1cs_delta_2016,dist_own_delta_2016,extremity_delta_2016,cluster_2017,dist_1cs_2017,dist_own_2017,extremity_2017,dist_1cs_delta_2017,dist_own_delta_2017,extremity_delta_2017,cluster_2018,dist_1cs_2018,dist_own_2018,extremity_2018,dist_1cs_delta_2018,dist_own_delta_2018,extremity_delta_2018,cluster_2019,dist_1cs_2019,dist_own_2019,extremity_2019,dist_1cs_delta_2019,dist_own_delta_2019,extremity_delta_2019
Alabama,1,1.207754,.92086583,2.1521921,1,1.2318658,.92170328,2.2001076,.024111748,.00083744526,.047915459,1,1.227332,.91582453,2.1954334,-.0045337677,-.0058787465,-.0046741962,1,1.5669109,1.3520105,3.38573,.33957887,.43618596,1.1902966,1,1.5660517,1.3528663,3.3878732,-.00085914135,.00085580349,.0021431446,1,1.5607953,1.3551298,3.4321301,-.0052564144,.002263546,.044256926,1,1.5666654,1.3248796,3.2958567,.0058701038,-.030250192,-.13627338,1,1.5438297,1.2326927,2.9484076,-.022835732,-.092186928,-.34744906,1,1.4980764,1.1664286,2.6459401,-.045753241,-.066264153,-.30246758,1,1.5733691,1.1553018,2.8006046,.075292706,-.011126757,.15466452,1,1.6955398,1.3403723,3.0633299,.12217069,.18507051,.26272535,1,2.1666889,1.7420557,4.9783869,.47114909,.40168333,1.9150569,1,1.995935,1.5550698,3.9230189,-.17075396,-.18698585,-1.0553679,1,2.0405822,1.6168358,4.4412599,.044647217,.061766028,.51824093,1,2.0986805,1.6105901,4.4052329,.058098316,-.0062457323,-.036026955,1,2.1215467,1.6045725,4.4025335,.022866249,-.0060175657,-.0026993752,1,2.1274283,1.6427294,4.6585503,.0058815479,.038156867,.25601673,1,1.9389223,1.4312072,3.8455603,-.18850601,-.21152222,-.81298995,1,2.0043445,1.5065758,4.2056227,.065422177,.075368643,.36006236,1,2.0358427,1.4995426,4.2103996,.031498194,-.0070332289,.0047769547
Alaska,1,.90089446,.58991003,1.2461244,1,.93297076,.59121656,1.281424,.032076299,.0013065338,.035299659,1,.9269762,.58200908,1.2680143,-.0059945583,-.0092074871,-.013409734,1,.89897197,.57265353,1.1834841,-.028004229,-.009355545,-.084530234,1,.89747387,.57467115,1.1876538,-.0014981031,.0020176172,.0041697025,1,.91007644,.61393601,1.2899293,.012602568,.039264858,.10227549,1,.92010736,.57160711,1.1698378,.010030925,-.042328894,-.12009144,1,.94510007,.51916397,1.0155168,.024992704,-.052443147,-.15432107,1,.95441067,.57203341,1.0522596,.0093106031,.052869439,.036742806,1,1.0778519,.57855183,1.1735497,.12344122,.0065184236,.12129009,1,1.249452,.89252311,1.6894876,.1716001,.31397128,.51593792,1,1.3749977,1.1334715,2.2894633,.12554574,.24094838,.59997571,1,1.0862019,.61217946,1.0488811,-.28879583,-.52129203,-1.2405822,1,1.1492772,.65998995,1.3022381,.063075304,.047810495,.25335705,1,1.2573504,.68847656,1.373703,.10807323,.028486609,.071464896,1,1.295157,.7009418,1.4100327,.037806511,.012465239,.036329746,1,1.3047689,.79024404,1.6529961,.0096119642,.089302242,.24296331,1,1.3190192,.77711606,1.6581829,.014250278,-.013127983,.0051867962,1,1.4134318,.87736565,1.989195,.094412565,.10024959,.33101213,1,1.4577544,.89676291,2.0482767,.04432261,.019397259,.059081674
Arizona,1,.88994551,.67757285,1.3768054,1,.92240262,.7184732,1.4778754,.032457113,.04090035,.10106993,1,.93749279,.74897045,1.5494822,.015090168,.030497253,.071606874,1,.90981233,.74172384,1.4467313,-.027680457,-.0072466135,-.1027509,1,.90833211,.74328262,1.4497716,-.0014802217,.0015587807,.0030403137,1,1.6344346,1.5329353,3.7280724,.72610247,.78965265,2.2783008,1,1.6280414,1.4386077,3.5606561,-.0063931942,-.094327569,-.16741633,1,1.8340672,1.5873032,4.0988955,.20602584,.14869547,.53823948,1,1.9476274,1.7302855,4.4365082,.1135602,.14298236,.33761263,1,1.8799771,1.64359,4.1888862,-.067650318,-.086695552,-.24762201,1,2.0127907,1.7618996,4.4093981,.13281357,.11830962,.22051191,1,1.9272125,1.5233096,3.9905117,-.085578203,-.23859,-.41888642,1,1.7499106,1.3612584,3.0891488,-.17730188,-.1620512,-.9013629,1,1.8006684,1.3653419,3.4580998,.050757766,.0040835142,.36895108,1,1.8662505,1.3542525,3.427146,.065582156,-.011089444,-.030953884,1,1.8919282,1.3507972,3.4316757,.025677681,-.0034552813,.0045297146,1,1.8985213,1.3992207,3.6800039,.0065931082,.048423529,.24832821,1,1.7530388,1.418209,3.4163682,-.14548254,.018988252,-.26363564,1,1.7483171,1.4336963,3.4892075,-.0047216415,.015487313,.07283926,1,1.7622259,1.4104499,3.4453723,.013908744,-.023246408,-.043835163
Arkansas,1,1.2555145,1.0345124,2.3881083,1,1.2787261,1.0352581,2.4420779,.023211598,.00074565411,.053969622,1,1.274359,1.0026969,2.4036856,-.0043671131,-.032561183,-.038392305,1,1.2541358,.99729574,2.2896814,-.020223141,-.0054011345,-.11400414,1,1.2373155,.97023612,2.2275555,-.016820312,-.027059615,-.062125921,1,1.5545013,1.6517472,3.2976956,.31718576,.6815111,1.0701401,1,1.5222304,1.6251217,3.173558,-.032270908,-.026625514,-.12413764,1,1.5627648,1.6641909,3.2327936,.040534377,.039069176,.059235573,2,1.256012,1.4969735,2.250721,-.3067528,-.16721737,-.98207259,1,1.2737931,1.3789086,2.386534,.017781138,-.11806488,.135813,2,1.2842762,1.4363846,2.2396607,.010483146,.057475924,-.14687324,1,1.2827785,1.3948017,2.3054521,-.0014977455,-.041582823,.065791368,2,1.2846878,1.4229802,2.2620187,.001909256,.028178453,-.043433428,1,1.2918503,1.3718656,2.3378394,.007162571,-.051114559,.075820684,1,1.331205,1.3870833,2.3871975,.039354682,.015217662,.04935813,1,1.3525503,1.3812988,2.4219716,.021345258,-.0057845116,.034774065,1,1.3617573,1.348677,2.4701788,.0092070103,-.032621741,.048207283,1,1.3646833,1.3201509,2.4810822,.002925992,-.028526187,.010903358,1,1.2920363,1.3370219,2.381614,-.072646976,.016871095,-.099468231,1,1.3330449,1.3603234,2.4712803,.041008592,.023301482,.089666367
California,2,2.2639205,1.3888444,3.8072226,2,2.4228981,1.702286,4.8695111,.15897751,.31344163,1.0622885,2,2.4043405,1.6772994,4.7785411,-.018557549,-.024986625,-.090970039,2,2.2457614,1.5930403,4.2298608,-.15857911,-.084259033,-.54868031,2,2.2451622,1.5930403,4.2305551,-.00059914589,0,.0006942749,2,2.2815981,1.6213657,4.3161159,.036435843,.028325319,.085560799,2,2.2575645,1.5912971,4.2925916,-.024033546,-.030068517,-.023524284,2,2.2087345,1.6535031,4.4581861,-.048830032,.062205911,.16559458,2,2.2215781,1.7086549,4.6774373,.012843609,.05515182,.21925116,2,2.2643876,1.7478527,4.8871331,.042809486,.039197803,.20969582,2,2.1777289,1.7757252,4.846931,-.086658716,.027872562,-.040202141,2,2.5693197,2.2075655,6.7007265,.39159083,.4318403,1.8537955,2,2.5626335,2.2693331,7.0403342,-.0066862106,.061767578,.33960772,2,2.7657313,2.3386497,7.6383781,.20309782,.069316626,.59804392,2,2.6802745,2.3122551,7.4868522,-.085456848,-.026394606,-.15152597,2,2.6468589,2.3014429,7.4247785,-.033415556,-.010812283,-.062073708,2,2.7850213,2.3674037,7.8400307,.13816237,.065960884,.41525221,2,2.751044,2.307333,7.6274662,-.03397727,-.060070753,-.21256447,2,2.674818,2.1692343,7.0357366,-.076225996,-.13809872,-.59172964,2,2.6397321,2.1718688,7.0029807,-.035085917,.0026345253,-.032755852
Colorado,1,1.0881912,1.1368545,2.1153507,1,1.0971636,1.1128459,2.1399589,.0089724064,-.024008632,.024608135,1,1.0920706,1.1079817,2.1446433,-.0050929785,-.0048642159,.0046844482,1,1.0684026,1.1030961,1.9950832,-.023667932,-.0048855543,-.14956009,1,1.0671424,1.1041448,1.99698,-.0012602806,.0010486841,.001896739,1,1.0777626,1.1021594,2.0366228,.010620236,-.0019854307,.039642811,1,1.1540761,1.1733433,2.1757457,.076313496,.07118392,.13912296,1,1.4163189,1.3764197,2.7789288,.26224279,.20307636,.60318303,1,1.3372923,1.333125,2.473768,-.07902658,-.043294668,-.30516076,1,1.3755569,1.2522203,2.5437083,.038264632,-.080904722,.069940329,1,1.4909376,1.4898572,2.7685702,.11538064,.23763692,.22486186,1,1.3296878,1.1797884,2.2625172,-.16124976,-.31006885,-.50605297,1,1.3534384,1.3810766,2.3373098,.023750544,.20128822,.074792624,1,1.3905334,1.531764,2.6200793,.03709507,.15068746,.28276944,2,1.5105995,1.6814556,2.9624176,.12006605,.14969158,.34233832,2,1.4572268,1.4143348,2.7356756,-.053372741,-.26712084,-.22674203,2,1.4387735,1.443526,2.6444387,-.01845324,.029191256,-.09123683,2,1.3152976,1.4255238,2.3964627,-.12347591,-.018002272,-.24797606,2,1.3014867,1.5069153,2.4173391,-.013810873,.081391573,.020876408,2,1.5219147,1.4463795,2.8721006,.22042799,-.060535789,.45476151
Connecticut,2,1.8911153,1.0306417,2.4565895,2,1.885924,1.1392004,2.6890342,-.0051913261,.10855877,.23244476,2,1.8933502,1.1604596,2.7501945,.0074262619,.021259189,.061160326,2,1.7332712,1.1566234,2.4971457,-.160079,-.0038362741,-.2530489,2,1.7437756,1.1566234,2.512599,.010504365,0,.015453339,2,1.7502952,1.1893446,2.5489557,.006519556,.032721281,.036356688,2,1.7555317,1.199365,2.6388814,.0052365065,.010020375,.089925766,2,1.7576382,1.2289784,2.7875144,.0021065474,.029613376,.148633,2,1.8066102,1.3638098,3.1674139,.048972011,.13483143,.3798995,2,1.7781353,1.3870964,3.1836979,-.028474927,.023286581,.016283989,2,1.7856599,1.5043937,3.4496686,.0075246096,.11729729,.26597071,2,1.7230932,1.2994472,2.9669907,-.062566757,-.20494652,-.48267794,2,1.7273552,1.4662443,3.3854959,.0042620897,.16679716,.41850519,2,2.0309505,1.5954212,4.1141677,.3035953,.12917686,.72867179,2,1.9333372,1.538101,3.9376585,-.097613335,-.057320237,-.17650914,2,1.9074109,1.530665,3.9247913,-.025926352,-.0074359179,-.012867212,2,1.9139504,1.4861923,3.7167041,.0065395832,-.044472694,-.20808721,2,1.9031985,1.4472796,3.645493,-.010751963,-.038912773,-.0712111,2,1.8570863,1.4329698,3.4949021,-.04611218,-.014309764,-.1505909,2,1.8384639,1.4607124,3.5526543,-.018622398,.027742624,.057752132
Delaware,2,1.4238319,1.2364824,2.2436066,2,1.4169296,1.2771496,2.2983108,-.0069023371,.040667176,.054704189,2,1.4267991,1.2961482,2.3485613,.0098694563,.018998623,.05025053,2,1.4226162,1.1566234,2.0922983,-.0041828156,-.13952482,-.25626302,2,1.42167,1.1566234,2.0930381,-.00094628334,0,.00073981285,2,1.4296591,1.1893446,2.123481,.0079891682,.032721281,.030442953,2,1.4223459,1.2503905,2.2510574,-.0073132515,.061045885,.12757635,2,1.4249452,1.1853795,2.2238209,.0025993586,-.065011024,-.027236462,2,1.4716662,1.2546964,2.4223185,.046720982,.069316864,.19849753,2,1.6404805,1.518219,3.1119373,.1688143,.26352262,.68961883,2,1.6486337,1.49104,3.1182065,.0081532001,-.027179003,.0062692165,2,1.417133,1.3805631,2.5021191,-.23150074,-.11047685,-.61608744,2,1.1476452,1.0723211,1.8112466,-.26948774,-.30824208,-.69087243,2,1.1911664,1.2945282,2.0202882,.043521166,.22220719,.2090416,2,1.2337369,1.351774,2.1771536,.042570472,.057245731,.15686536,2,1.4110837,1.4044803,2.6242816,.17734683,.052706361,.44712806,2,1.4060341,1.429021,2.5631227,-.0050495863,.024540663,-.061158895,2,1.4933211,1.3885069,2.7291028,.087286949,-.040514112,.1659801,2,1.4340895,1.4177181,2.6326616,-.05923152,.029211164,-.096441269,2,1.3440315,1.4607124,2.5059085,-.090058088,.04299438,-.12675309
District of Columbia,1,.88994551,.67757285,1.3768054,2,2.0929017,1.6220701,4.0333385,1.2029562,.94449723,2.6565332,2,2.0902364,1.5958279,3.9824219,-.0026652813,-.026242137,-.050916672,2,2.0873835,1.4847373,3.701978,-.0028529167,-.11109066,-.28044391,2,2.0867388,1.4847373,3.7026668,-.00064468384,0,.00068879128,2,2.0827971,1.4590499,3.5975626,-.0039417744,-.025687337,-.10510421,2,2.0588236,1.5210117,3.7648451,-.023973465,.06196177,.16728258,2,2.0510826,1.5508466,3.9216895,-.0077409744,.029834867,.15684438,2,2.0743811,1.6044511,4.1407752,.023298502,.053604484,.21908569,2,2.0400405,1.6819031,4.2331605,-.03434062,.077452064,.092385292,2,2.1448417,1.8174708,4.817966,.10480118,.13556767,.58480549,2,2.2466602,1.9653186,5.2783823,.10181856,.14784777,.46041632,2,2.2542841,1.9748095,5.5340576,.0076239109,.0094909668,.25567532,2,2.3571448,2.0381522,5.7415099,.10286069,.06334269,.2074523,2,2.2735801,1.975909,5.544529,-.083564758,-.062243223,-.19698095,2,2.2428493,1.9461192,5.4727092,-.030730724,-.029789805,-.071819782,2,2.2309039,1.8597761,5.1353016,-.011945486,-.08634305,-.33740759,2,2.3998792,1.8738422,5.6596332,.16897535,.0140661,.52433157,2,2.3300562,1.7721059,5.2157226,-.069823027,-.10173631,-.4439106,2,2.2896934,1.7465243,5.1274691,-.040362835,-.025581598,-.088253498
Florida,1,.90089446,.58991003,1.2461244,1,.93297076,.59121656,1.281424,.032076299,.0013065338,.035299659,1,1.3490994,1.1327751,2.7155118,.41612864,.5415585,1.4340878,1,1.3151881,1.1030961,2.5325875,-.033911347,-.029678941,-.18292427,1,1.3141645,1.1041448,2.5349951,-.001023531,.0010486841,.0024075508,1,1.3078961,1.1021594,2.5646331,-.0062683821,-.0019854307,.029638052,1,1.3148956,1.0748518,2.4483218,.0069994926,-.02730763,-.11631131,1,1.2876023,.94579661,2.0777791,-.027293324,-.12905514,-.37054276,1,1.2323728,.87209833,1.7959573,-.055229545,-.073698282,-.28182173,1,1.4702941,1.1553018,2.6127481,.23792136,.28320348,.81679082,1,1.3329728,.93462318,1.8559272,-.13732135,-.22067863,-.75682092,1,1.3516262,.86547303,1.854363,.018653393,-.06915015,-.0015642643,1,1.3891848,.99716049,1.9419634,.037558675,.13168746,.08760047,1,1.1787559,.6993984,1.3953218,-.21042895,-.2977621,-.54664159,1,1.3888735,1.2899613,2.4200447,.21011758,.59056294,1.0247228,1,1.4231904,1.2876282,2.4657357,.034316897,-.0023331642,.045691013,1,1.3545387,1.4480015,2.5081935,-.068651676,.16037333,.042457819,1,1.4900348,1.5788599,2.9320858,.13549614,.13085842,.42389226,1,1.4910665,1.5590013,2.965637,.0010316372,-.019858599,.033551216,1,1.6034732,1.5331277,3.2251656,.11240673,-.025873661,.25952864
