state_cluster_id,year,mean_enf_secure_comms,mean_enf_lim_coop_detainers,mean_enf_limits_everify,mean_pub_foodass_lprkids,mean_pub_foodass_lpradults,mean_pub_pubins_unauthkids,mean_pub_pubins_lpradults,mean_pub_pubins_unauthadult,mean_pub_medicaid_unauthpreg,mean_int_state_finaid,mean_int_drivers_license
1,2000,,,,,,0,0,,0,,0
1,2001,,,,,,0,0,0,,,0
1,2002,,,,,,0,0,0,,,0
1,2003,,,,1,,0,0,0,,,
1,2004,,,,1,,0,0,0,,,
1,2005,,,,1,,0,0,0,,,
1,2006,,,,1,0,0,0,0,,,
1,2007,,,0,1,0,0,0,0,,,
1,2008,,,0,1,0,0,0,0,,,
1,2009,,,0,1,0,0,0,0,,0,
1,2010,,,0,1,0,0,0,0,0,0,
1,2011,,0,0,1,0,0,0,0,,0,
1,2012,1,0,0,1,0,0,0,0,0,0,
1,2013,1,,0,1,0,0,0,0,,0,
1,2014,1,,0,1,0,0,0,0,,0,
1,2015,,,0,1,0,0,0,0,,0,
1,2016,,,0,1,0,0,0,0,,,
1,2017,1,,0,1,0,,0,0,,,
1,2018,1,,0,1,0,,0,0,,,
1,2019,1,,0,1,0,,0,0,,,
