state_cluster_id,year,mean_enf_task_force_287g,mean_enf_secure_comms,mean_enf_everify,mean_enf_state_omnibus,mean_pub_tanf_post5,mean_pub_foodass_lprkids,mean_pub_medicaid_lprkids,mean_pub_medicaid_lprpreg,mean_pub_medicaid_lpr_post5,mean_int_state_finaid,mean_int_uni_ban
2,2000,,,,,,,1,1,1,,
2,2001,,,,,,,1,1,1,0,
2,2002,0,,,,1,,1,1,1,0,
2,2003,0,,,,1,1,1,1,1,0,
2,2004,0,,,,1,1,1,1,1,0,
2,2005,0,,,,1,1,1,1,1,0,
2,2006,0,,0,,1,1,,1,1,0,
2,2007,0,,0,,,1,,1,,,
2,2008,,,,,,1,,1,,,0
2,2009,,,,,,1,,1,,,0
2,2010,,,,0,,1,,1,,,0
2,2011,,,,0,,1,,,,,0
2,2012,,1,,0,,1,,,,,0
2,2013,,1,,0,,1,,,,,0
2,2014,,1,,0,,1,,1,,,0
2,2015,,,,0,,1,,1,,,0
2,2016,,,,0,,1,,1,,,0
2,2017,,1,,,,1,,1,,,0
2,2018,,1,,,,1,,1,,,0
2,2019,,1,,,,1,,1,,,0
