year,mean_enf_task_force_287g,mean_enf_jail_287g,mean_enf_secure_comms,mean_enf_lim_coop_detainers,mean_enf_everify,mean_enf_limits_everify,mean_enf_state_omnibus,mean_pub_foodass_lprkids,mean_pub_ssi_replacement,mean_pub_pubins_unauthkids,mean_pub_pubins_unauthadult,mean_int_instate_tuition,mean_int_state_finaid,mean_int_uni_ban,mean_int_drivers_license
2000,,,,,,,,,.098039217,.05882353,,,,,.019607844
2001,,,,,,,,,,.078431375,.019607844,.039215688,.019607844,,.019607844
2002,.019607844,,,,,,,,.098039217,.098039217,.019607844,.078431375,.019607844,,.019607844
2003,.039215688,,,,,,,1,,,.019607844,,.039215688,,.039215688
2004,.039215688,,,,,,,1,,,.019607844,,.039215688,,.039215688
2005,,.029411765,,,,,,1,,,.019607844,,,,
2006,,,,,.019607844,,,1,,,.019607844,,,,
2007,,,,,.039215688,.019607844,,1,,,.019607844,,,,
2008,,,,,,.019607844,,1,,,.019607844,,.05882353,.019607844,.05882353
2009,,,,,,.019607844,,1,,,.019607844,,.05882353,.019607844,.05882353
2010,,,,,,.019607844,.019607844,1,,,.019607844,,,.039215688,
2011,,,,.039215688,,.039215688,,1,,,.019607844,,,,
2012,,,1,,,.039215688,,1,,,.019607844,,,,
2013,,,1,,,.039215688,,1,,,.019607844,,,,
2014,,,1,,,.039215688,,1,,,.019607844,,,,
2015,,,,,,.039215688,,1,,,.019607844,,,,
2016,,,,,,.039215688,,1,,,.019607844,,,,
2017,,,1,,,.039215688,,1,,,.019607844,,,,
2018,,,1,,,.039215688,,1,,,.019607844,,,,
2019,,,1,,,.039215688,,1,,,.019607844,,,,
