year,diff_enf_lim_coop_detainers,diff_int_official_eng,diff_pub_medicaid_lprkids,diff_pub_medicaid_lprpreg,diff_pub_medicaid_unauthpreg,diff_pub_pubins_lpradults,rkdiff_enf_lim_coop_detainers,rkdiff_int_official_eng,rkdiff_pub_medicaid_lprkids,rkdiff_pub_medicaid_lprpreg,rkdiff_pub_medicaid_unauthpreg,rkdiff_pub_pubins_lpradults
2000,0,0,.94444442,.97222221,0,.80000001,0,0,2,1,0,3
2001,0,0,.91666669,.94444442,0,.80000001,0,0,2,1,0,3
2002,0,0,.91666669,.94444442,0,.80000001,0,0,2,1,0,3
2003,0,0,.91666669,.94444442,0,.73333335,0,0,2,1,0,3
2004,0,0,.91666669,.94444442,0,.73333335,0,0,2,1,0,3
2005,0,0,.8918919,.91891891,0,.78571427,0,0,2,1,0,3
2006,0,0,.85178572,.91428572,0,.6875,0,0,2,1,0,3
2007,0,0,.81085527,.90625,0,.63157892,0,0,2,1,0,3
2008,0,0,.72857141,.96666664,.68095237,0,0,0,2,1,3,0
2009,0,.59523809,.80476189,.86666667,0,0,0,3,2,1,0,0
2010,0,0,.64615387,.96153843,.63999999,0,0,0,2,1,3,0
2011,0,.63198757,.77018636,.77795029,0,0,0,3,2,1,0,0
2012,0,0,.7344721,.92080748,.60714287,0,0,0,2,1,3,0
2013,0,.63198757,.73447204,.74223602,0,0,0,3,2,1,0,0
2014,0,.61230767,.72461534,.80000001,0,0,0,3,2,1,0,0
2015,0,.66203701,.75925922,.79166669,0,0,0,3,2,1,0,0
2016,0,.71296299,.66203701,.7037037,0,0,0,1,3,2,0,0
2017,0,.71296299,.625,.7037037,0,0,0,1,3,2,0,0
2018,.69487584,.66770184,0,.60714287,0,0,1,2,0,3,0,0
2019,.6574074,.71296299,0,.62962961,0,0,2,1,0,3,0,0
