state_cluster_id,lag_cluster,id_no,state,id,year,total_distance,medoid_rank1,medoid_rank2,noswitch,switched,n_noswitch,n_switched,flag
1,,1,Alabama,AL,2000,1.75,19.5,,1,0,51,0,0
1,,2,Alaska,AK,2000,1.25,5,,1,0,51,0,0
1,,3,Arizona,AZ,2000,1.3611112,13.5,,1,0,51,0,0
1,,4,Arkansas,AR,2000,1.9722223,26,,1,0,51,0,0
2,,5,California,CA,2000,3.7333331,,11,1,0,51,0,0
1,,6,Colorado,CO,2000,2.1944444,27,,1,0,51,0,0
2,,7,Connecticut,CT,2000,2.8666666,,1.5,1,0,51,0,0
2,,8,Delaware,DE,2000,3.3333335,,4.5,1,0,51,0,0
1,,9,District of Columbia,DC,2000,1.3611112,13.5,,1,0,51,0,0
1,,10,Florida,FL,2000,1.25,5,,1,0,51,0,0
1,,11,Georgia,GA,2000,1.75,19.5,,1,0,51,0,0
2,,12,Hawaii,HI,2000,3.6666665,,9.5,1,0,51,0,0
1,,13,Idaho,ID,2000,2.5833335,33,,1,0,51,0,0
2,,14,Illinois,IL,2000,4.3333335,,13.5,1,0,51,0,0
1,,15,Indiana,IN,2000,2.4722223,31.5,,1,0,51,0,0
1,,16,Iowa,IA,2000,1.3611112,13.5,,1,0,51,0,0
1,,17,Kansas,KS,2000,1.3611112,13.5,,1,0,51,0,0
1,,18,Kentucky,KY,2000,1.25,5,,1,0,51,0,0
1,,19,Louisiana,LA,2000,1.25,5,,1,0,51,0,0
2,,20,Maine,ME,2000,3.3333333,,3,1,0,51,0,0
2,,21,Maryland,MD,2000,3.3999999,,6,1,0,51,0,0
2,,22,Massachusetts,MA,2000,3.8666663,,12,1,0,51,0,0
1,,23,Michigan,MI,2000,1.3611112,13.5,,1,0,51,0,0
2,,24,Minnesota,MN,2000,3.4666667,,7,1,0,51,0,0
1,,25,Mississippi,MS,2000,2.4722223,31.5,,1,0,51,0,0
1,,26,Missouri,MO,2000,1.8611112,23.5,,1,0,51,0,0
1,,27,Montana,MT,2000,1.25,5,,1,0,51,0,0
2,,28,Nebraska,NE,2000,3.6666665,,9.5,1,0,51,0,0
1,,29,Nevada,NV,2000,1.3611112,13.5,,1,0,51,0,0
1,,30,New Hampshire,NH,2000,2.1944447,28,,1,0,51,0,0
2,,31,New Jersey,NJ,2000,3.3333335,,4.5,1,0,51,0,0
1,,32,New Mexico,NM,2000,1.8611112,23.5,,1,0,51,0,0
2,,33,New York,NY,2000,3.5333333,,8,1,0,51,0,0
1,,34,North Carolina,NC,2000,1.25,5,,1,0,51,0,0
1,,35,North Dakota,ND,2000,1.25,5,,1,0,51,0,0
1,,36,Ohio,OH,2000,1.8611112,23.5,,1,0,51,0,0
1,,37,Oklahoma,OK,2000,1.3611112,13.5,,1,0,51,0,0
1,,38,Oregon,OR,2000,2.3611112,30,,1,0,51,0,0
2,,39,Pennsylvania,PA,2000,2.8666666,,1.5,1,0,51,0,0
2,,40,Rhode Island,RI,2000,4.3333335,,13.5,1,0,51,0,0
