year,state_cluster_id,index_enf_anti,index_enf_pro,index_pub_pro,index_int_pro,index_int_anti
2000,1,0,0,.16898148,0,.27777779
2000,2,0,0,.61666667,.022222223,.16666667
2001,1,0,0,.18055555,.018518519,.29166666
2001,2,0,0,.63333333,.044444446,.13333334
2002,1,.0046296297,0,.17824075,.027777778,.30555555
2002,2,0,0,.64444447,.06666667,.13333334
2003,1,.0092592593,0,.2638889,.064814813,.30555555
2003,2,0,0,.66666669,.11111112,.13333334
2004,1,.0092592593,0,.25925925,.074074075,.30555555
2004,2,0,0,.66666669,.11111112,.13333334
2005,1,.018018018,0,.26801801,.0990991,.2972973
2005,2,.0059523811,0,.6785714,.11904763,.14285715
2006,1,.026190476,0,.2547619,.10476191,.31428573
2006,2,.0052083335,0,.671875,.125,.15625
2007,1,.0625,0,.25260416,.09375,.375
2007,2,.013157894,.02631579,.62719297,.14035088,.13157895
2008,1,.11111111,0,.24444444,.1,.40000001
2008,2,.067460321,.023809524,.59920633,.12698413,.16666667
2009,1,.13611111,0,.2638889,.044444446,.43333334
2009,2,.13492064,.023809524,.6150794,.22222222,.11904762
2010,1,.22435898,0,.25961539,.051282052,.44230768
2010,2,.19333333,.02,.56999999,.18666667,.2
2011,1,.33035713,0,.27380952,.047619049,.5
2011,2,.18478261,.086956523,.56159419,.26086956,.13043478
2012,1,.31521738,0,.25,.057971016,.5
2012,2,.24702381,.098214284,.53571427,.20238096,.19642857
2013,1,.29761904,.017857144,.28273809,.083333336,.5
2013,2,.20652173,.18478261,.56159419,.44927537,.13043478
2014,1,.30333334,.079999998,.28,.079999998,.51999998
2014,2,.21474358,.32692307,.54166669,.43589744,.15384616
2015,1,.1388889,.083333336,.28125,.083333336,.54166663
2015,2,.049382716,.31481484,.54320985,.45679012,.14814815
2016,1,.1388889,.074074075,.29938272,.11111111,.53703707
2016,2,.038194444,.35416666,.5625,.47222224,.125
2017,1,.27777779,.064814813,.30246913,.086419754,.53703707
2017,2,.2048611,.36458331,.57291669,.5,.125
2018,1,.2767857,.098214284,.31845239,.083333336,.51785713
2018,2,.20289855,.48913044,.5869565,.55072463,.13043478
2019,1,.27469134,.12962963,.31790122,.086419754,.53703707
2019,2,.2013889,.5,.5763889,.58333331,.125
