year,index_enf_anti,index_enf_pro,index_pub_pro,index_int_pro,index_int_anti
2000,0,0,3.6078432,.019607844,.49019608
2001,0,0,3.7647059,.078431375,.49019608
2002,.019607844,0,3.7843137,.11764707,.50980395
2003,.039215688,0,4.5882354,.23529413,.50980395
2004,.039215688,0,4.5490198,.25490198,.50980395
2005,.088235296,0,4.5686274,.3137255,.50980395
2006,.11764706,0,4.6274509,.33333334,.52941179
2007,.2647059,.019607844,4.7058825,.33333334,.56862748
2008,.55882353,.019607844,4.6862745,.33333334,.60784316
2009,.81372553,.019607844,4.9019608,.35294119,.60784316
2010,1.254902,.019607844,4.9411764,.35294119,.64705884
2011,1.5882354,.078431375,4.8431373,.43137255,.66666669
2012,1.6666667,.10784315,4.8823528,.41176471,.66666669
2013,1.5392157,.18627451,4.9019608,.74509805,.66666669
2014,1.5490196,.41176471,4.9607844,.78431374,.66666669
2015,.54901963,.41176471,5.0392156,.84313726,.66666669
2016,.54901963,.41176471,5.0784316,.84313726,.68627453
2017,1.4607843,.41176471,5.1568627,.84313726,.68627453
2018,1.4607843,.54901963,5.2745099,.88235295,.68627453
2019,1.4411765,.60784316,5.2745099,.96078432,.68627453
