"","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"AL",0,1,1.4142135623731,1.4142135623731,3,1.4142135623731,2.82842712474619,2.23606797749979,1.4142135623731,1,1.4142135623731,2.44948974278318,1.4142135623731,2,1,1.4142135623731,1.4142135623731,1,1,3,2.44948974278318,3,1.4142135623731,2.64575131106459,1,1.73205080756888,1,2.82842712474619,1.4142135623731,1.4142135623731,2.23606797749979,1.73205080756888,2.82842712474619,1,1,1,1.4142135623731,1.4142135623731,2.44948974278318,2.82842712474619,1,1,1.4142135623731,1.73205080756888,1.4142135623731,1.73205080756888,1,3.3166247903554,1.4142135623731,2.23606797749979,1
"AK",1,0,1,1,2.82842712474619,1,2.64575131106459,2,1,0,1,2.23606797749979,1.73205080756888,1.73205080756888,1.4142135623731,1,1,0,0,2.82842712474619,2.23606797749979,2.82842712474619,1,2.44948974278318,1.4142135623731,1.4142135623731,0,2.64575131106459,1,1,2,1.4142135623731,2.64575131106459,0,0,1.4142135623731,1,1.73205080756888,2.23606797749979,2.64575131106459,0,0,1,2,1,1.4142135623731,1.4142135623731,3.16227766016838,1,2,1.4142135623731
"AZ",1.4142135623731,1,0,1.4142135623731,3,1.4142135623731,2.44948974278318,1.73205080756888,0,1,1.4142135623731,2.44948974278318,1.4142135623731,2,1.73205080756888,0,0,1,1,2.64575131106459,2,3,0,2.23606797749979,1.73205080756888,1,1,2.82842712474619,0,1.4142135623731,1.73205080756888,1,2.44948974278318,1,1,1,0,1.4142135623731,2,2.44948974278318,1,1,1.4142135623731,1.73205080756888,1.4142135623731,1,1.73205080756888,3,0,1.73205080756888,1.73205080756888
"AR",1.4142135623731,1,1.4142135623731,0,3,1.4142135623731,2.82842712474619,2.23606797749979,1.4142135623731,1,1.4142135623731,2.44948974278318,1.4142135623731,2,1,1.4142135623731,1.4142135623731,1,1,3,2.44948974278318,3,1.4142135623731,2.64575131106459,1,1.73205080756888,1,2.82842712474619,1.4142135623731,1.4142135623731,2.23606797749979,1.73205080756888,2.82842712474619,1,1,1.73205080756888,1.4142135623731,2,2.44948974278318,2.44948974278318,1,1,1.4142135623731,1.73205080756888,1.4142135623731,1.73205080756888,1.73205080756888,3.3166247903554,1.4142135623731,2.23606797749979,1.73205080756888
"CA",3,2.82842712474619,3,3,0,2.64575131106459,1.73205080756888,2.44948974278318,3,2.82842712474619,2.64575131106459,1.73205080756888,3.3166247903554,2.23606797749979,3.16227766016838,3,3,2.82842712474619,2.82842712474619,1.4142135623731,2.23606797749979,1.4142135623731,3,2,3.16227766016838,2.82842712474619,2.82842712474619,1,3,2.64575131106459,2.44948974278318,2.82842712474619,2.23606797749979,2.82842712474619,2.82842712474619,3.16227766016838,3,3,2.23606797749979,2.23606797749979,2.82842712474619,2.82842712474619,2.64575131106459,3.16227766016838,2.64575131106459,2.82842712474619,2.82842712474619,2,3,2.44948974278318,2.82842712474619
"CO",1.4142135623731,1,1.4142135623731,1.4142135623731,2.64575131106459,0,2.44948974278318,1.73205080756888,1.4142135623731,1,1.4142135623731,2,2,1.4142135623731,1.73205080756888,1.4142135623731,1.4142135623731,1,1,2.64575131106459,2,2.64575131106459,1.4142135623731,2.23606797749979,1.73205080756888,1.73205080756888,1,2.44948974278318,1.4142135623731,1.4142135623731,1.73205080756888,1.73205080756888,2.44948974278318,1,1,1.73205080756888,1.4142135623731,2,2,2.44948974278318,1,1,1.4142135623731,2.23606797749979,1.4142135623731,1.73205080756888,1.73205080756888,3,1.4142135623731,2.23606797749979,1.73205080756888
"CT",2.82842712474619,2.64575131106459,2.44948974278318,2.82842712474619,1.73205080756888,2.44948974278318,0,1.73205080756888,2.44948974278318,2.64575131106459,2.44948974278318,2,2.82842712474619,2.44948974278318,3,2.44948974278318,2.44948974278318,2.64575131106459,2.64575131106459,1,1.4142135623731,1.73205080756888,2.44948974278318,1.73205080756888,3,2.23606797749979,2.64575131106459,1.4142135623731,2.44948974278318,2.82842712474619,1.73205080756888,2.23606797749979,2,2.64575131106459,2.64575131106459,2.64575131106459,2.44948974278318,2.44948974278318,1.4142135623731,2,2.64575131106459,2.64575131106459,2.44948974278318,2.64575131106459,2.44948974278318,2.23606797749979,2.64575131106459,1.73205080756888,2.44948974278318,1.73205080756888,2.64575131106459
"DE",2.23606797749979,2,1.73205080756888,2.23606797749979,2.44948974278318,1.73205080756888,1.73205080756888,0,1.73205080756888,2,2.23606797749979,1.73205080756888,2.23606797749979,1.73205080756888,2.44948974278318,1.73205080756888,1.73205080756888,2,2,2,1.73205080756888,2.44948974278318,1.73205080756888,1.4142135623731,2.44948974278318,2,2,2.23606797749979,1.73205080756888,2.23606797749979,0,2,1.73205080756888,2,2,2,1.73205080756888,2.23606797749979,1,2.23606797749979,2,2,2.23606797749979,2,2.23606797749979,2,2,2.44948974278318,1.73205080756888,2.44948974278318,2.44948974278318
"DC",1.4142135623731,1,0,1.4142135623731,3,1.4142135623731,2.44948974278318,1.73205080756888,0,1,1.4142135623731,2.44948974278318,1.4142135623731,2,1.73205080756888,0,0,1,1,2.64575131106459,2,3,0,2.23606797749979,1.73205080756888,1,1,2.82842712474619,0,1.4142135623731,1.73205080756888,1,2.44948974278318,1,1,1,0,1.4142135623731,2,2.44948974278318,1,1,1.4142135623731,1.73205080756888,1.4142135623731,1,1.73205080756888,3,0,1.73205080756888,1.73205080756888
"FL",1,0,1,1,2.82842712474619,1,2.64575131106459,2,1,0,1,2.23606797749979,1.73205080756888,1.73205080756888,1.4142135623731,1,1,0,0,2.82842712474619,2.23606797749979,2.82842712474619,1,2.44948974278318,1.4142135623731,1.4142135623731,0,2.64575131106459,1,1,2,1.4142135623731,2.64575131106459,0,0,1.4142135623731,1,1.73205080756888,2.23606797749979,2.64575131106459,0,0,1,2,1,1.4142135623731,1.4142135623731,3.16227766016838,1,2,1.4142135623731
"GA",1.4142135623731,1,1.4142135623731,1.4142135623731,2.64575131106459,1.4142135623731,2.44948974278318,2.23606797749979,1.4142135623731,1,0,2,2,2,1.73205080756888,1.4142135623731,1.4142135623731,1,1,2.64575131106459,2,2.64575131106459,1.4142135623731,2.64575131106459,1.73205080756888,1,1,2.44948974278318,1.4142135623731,1.4142135623731,2.23606797749979,1,2.44948974278318,1,1,1.73205080756888,1.4142135623731,1.4142135623731,2,2.44948974278318,1,1,0,2.23606797749979,0,1,1.73205080756888,3,1.4142135623731,1.73205080756888,1
"HI",2.44948974278318,2.23606797749979,2.44948974278318,2.44948974278318,1.73205080756888,2,2,1.73205080756888,2.44948974278318,2.23606797749979,2,0,2.82842712474619,2,2.64575131106459,2.44948974278318,2.44948974278318,2.23606797749979,2.23606797749979,1.73205080756888,2,2.23606797749979,2.44948974278318,2.23606797749979,2.64575131106459,2.23606797749979,2.23606797749979,1.4142135623731,2.44948974278318,2,1.73205080756888,2.23606797749979,2,2.23606797749979,2.23606797749979,2.64575131106459,2.44948974278318,2.44948974278318,1.4142135623731,2.44948974278318,2.23606797749979,2.23606797749979,2,2.64575131106459,2,2.23606797749979,2.23606797749979,2.64575131106459,2.44948974278318,2.64575131106459,2.23606797749979
"ID",1.4142135623731,1.73205080756888,1.4142135623731,1.4142135623731,3.3166247903554,2,2.82842712474619,2.23606797749979,1.4142135623731,1.73205080756888,2,2.82842712474619,0,2.44948974278318,1,1.4142135623731,1.4142135623731,1.73205080756888,1.73205080756888,3,2.44948974278318,3.3166247903554,1.4142135623731,2.64575131106459,1,1.73205080756888,1.73205080756888,3.16227766016838,1.4142135623731,2,2.23606797749979,1.73205080756888,2.82842712474619,1.73205080756888,1.73205080756888,1,1.4142135623731,1.4142135623731,2.44948974278318,2.44948974278318,1.73205080756888,1.73205080756888,2,1,2,1.73205080756888,1.73205080756888,3.3166247903554,1.4142135623731,2.23606797749979,1.73205080756888
"IL",2,1.73205080756888,2,2,2.23606797749979,1.4142135623731,2.44948974278318,1.73205080756888,2,1.73205080756888,2,2,2.44948974278318,0,2.23606797749979,2,2,1.73205080756888,1.73205080756888,2.64575131106459,2,2.23606797749979,2,1.73205080756888,2.23606797749979,2.23606797749979,1.73205080756888,2.44948974278318,2,2,1.73205080756888,2.23606797749979,2,1.73205080756888,1.73205080756888,2.23606797749979,2,2.44948974278318,2,2,1.73205080756888,1.73205080756888,2,2.23606797749979,2,2.23606797749979,1.73205080756888,2.64575131106459,2,2.64575131106459,2.23606797749979
"IN",1,1.4142135623731,1.73205080756888,1,3.16227766016838,1.73205080756888,3,2.44948974278318,1.73205080756888,1.4142135623731,1.73205080756888,2.64575131106459,1,2.23606797749979,0,1.73205080756888,1.73205080756888,1.4142135623731,1.4142135623731,3.16227766016838,2.64575131106459,3.16227766016838,1.73205080756888,2.82842712474619,0,2,1.4142135623731,3,1.73205080756888,1.73205080756888,2.44948974278318,2,3,1.4142135623731,1.4142135623731,1.4142135623731,1.73205080756888,1.73205080756888,2.64575131106459,2.64575131106459,1.4142135623731,1.4142135623731,1.73205080756888,1.4142135623731,1.73205080756888,2,1.4142135623731,3.46410161513775,1.73205080756888,2.44948974278318,1.4142135623731
"IA",1.4142135623731,1,0,1.4142135623731,3,1.4142135623731,2.44948974278318,1.73205080756888,0,1,1.4142135623731,2.44948974278318,1.4142135623731,2,1.73205080756888,0,0,1,1,2.64575131106459,2,3,0,2.23606797749979,1.73205080756888,1,1,2.82842712474619,0,1.4142135623731,1.73205080756888,1,2.44948974278318,1,1,1,0,1.4142135623731,2,2.44948974278318,1,1,1.4142135623731,1.73205080756888,1.4142135623731,1,1.73205080756888,3,0,1.73205080756888,1.73205080756888
"KS",1.4142135623731,1,0,1.4142135623731,3,1.4142135623731,2.44948974278318,1.73205080756888,0,1,1.4142135623731,2.44948974278318,1.4142135623731,2,1.73205080756888,0,0,1,1,2.64575131106459,2,3,0,2.23606797749979,1.73205080756888,1,1,2.82842712474619,0,1.4142135623731,1.73205080756888,1,2.44948974278318,1,1,1,0,1.4142135623731,2,2.44948974278318,1,1,1.4142135623731,1.73205080756888,1.4142135623731,1,1.73205080756888,3,0,1.73205080756888,1.73205080756888
"KY",1,0,1,1,2.82842712474619,1,2.64575131106459,2,1,0,1,2.23606797749979,1.73205080756888,1.73205080756888,1.4142135623731,1,1,0,0,2.82842712474619,2.23606797749979,2.82842712474619,1,2.44948974278318,1.4142135623731,1.4142135623731,0,2.64575131106459,1,1,2,1.4142135623731,2.64575131106459,0,0,1.4142135623731,1,1.73205080756888,2.23606797749979,2.64575131106459,0,0,1,2,1,1.4142135623731,1.4142135623731,3.16227766016838,1,2,1.4142135623731
"LA",1,0,1,1,2.82842712474619,1,2.64575131106459,2,1,0,1,2.23606797749979,1.73205080756888,1.73205080756888,1.4142135623731,1,1,0,0,2.82842712474619,2.23606797749979,2.82842712474619,1,2.44948974278318,1.4142135623731,1.4142135623731,0,2.64575131106459,1,1,2,1.4142135623731,2.64575131106459,0,0,1.4142135623731,1,1.73205080756888,2.23606797749979,2.64575131106459,0,0,1,2,1,1.4142135623731,1.4142135623731,3.16227766016838,1,2,1.4142135623731
"ME",3,2.82842712474619,2.64575131106459,3,1.4142135623731,2.64575131106459,1,2,2.64575131106459,2.82842712474619,2.64575131106459,1.73205080756888,3,2.64575131106459,3.16227766016838,2.64575131106459,2.64575131106459,2.82842712474619,2.82842712474619,0,1.73205080756888,2,2.64575131106459,2,3.16227766016838,2.44948974278318,2.82842712474619,1,2.64575131106459,2.64575131106459,2,2.44948974278318,2.23606797749979,2.82842712474619,2.82842712474619,2.82842712474619,2.64575131106459,2.64575131106459,1.73205080756888,2.23606797749979,2.82842712474619,2.82842712474619,2.64575131106459,2.82842712474619,2.64575131106459,2.44948974278318,2.82842712474619,2,2.64575131106459,2,2.82842712474619
"MD",2.44948974278318,2.23606797749979,2,2.44948974278318,2.23606797749979,2,1.4142135623731,1.73205080756888,2,2.23606797749979,2,2,2.44948974278318,2,2.64575131106459,2,2,2.23606797749979,2.23606797749979,1.73205080756888,0,2.23606797749979,2,2.23606797749979,2.64575131106459,1.73205080756888,2.23606797749979,2,2,2.44948974278318,1.73205080756888,1.73205080756888,2,2.23606797749979,2.23606797749979,2.23606797749979,2,2,1.4142135623731,1.4142135623731,2.23606797749979,2.23606797749979,2,2.23606797749979,2,1.73205080756888,2.23606797749979,2.23606797749979,2,1.73205080756888,2.23606797749979
"MA",3,2.82842712474619,3,3,1.4142135623731,2.64575131106459,1.73205080756888,2.44948974278318,3,2.82842712474619,2.64575131106459,2.23606797749979,3.3166247903554,2.23606797749979,3.16227766016838,3,3,2.82842712474619,2.82842712474619,2,2.23606797749979,0,3,2,3.16227766016838,2.82842712474619,2.82842712474619,1.73205080756888,3,3,2.44948974278318,2.82842712474619,1.73205080756888,2.82842712474619,2.82842712474619,3.16227766016838,3,3,2.23606797749979,2.23606797749979,2.82842712474619,2.82842712474619,2.64575131106459,3.16227766016838,2.64575131106459,2.82842712474619,2.82842712474619,1.4142135623731,3,2.44948974278318,2.82842712474619
"MI",1.4142135623731,1,0,1.4142135623731,3,1.4142135623731,2.44948974278318,1.73205080756888,0,1,1.4142135623731,2.44948974278318,1.4142135623731,2,1.73205080756888,0,0,1,1,2.64575131106459,2,3,0,2.23606797749979,1.73205080756888,1,1,2.82842712474619,0,1.4142135623731,1.73205080756888,1,2.44948974278318,1,1,1,0,1.4142135623731,2,2.44948974278318,1,1,1.4142135623731,1.73205080756888,1.4142135623731,1,1.73205080756888,3,0,1.73205080756888,1.73205080756888
"MN",2.64575131106459,2.44948974278318,2.23606797749979,2.64575131106459,2,2.23606797749979,1.73205080756888,1.4142135623731,2.23606797749979,2.44948974278318,2.64575131106459,2.23606797749979,2.64575131106459,1.73205080756888,2.82842712474619,2.23606797749979,2.23606797749979,2.44948974278318,2.44948974278318,2,2.23606797749979,2,2.23606797749979,0,2.82842712474619,2.44948974278318,2.44948974278318,2.23606797749979,2.23606797749979,2.64575131106459,1.4142135623731,2.44948974278318,1.73205080756888,2.44948974278318,2.44948974278318,2.44948974278318,2.23606797749979,2.64575131106459,1.73205080756888,2.23606797749979,2.44948974278318,2.44948974278318,2.64575131106459,2.44948974278318,2.64575131106459,2.44948974278318,2.44948974278318,2,2.23606797749979,2.44948974278318,2.82842712474619
