cluster,year,n_cluster,mean_dist_own,sd_dist_own,mean_extremity,sd_extremity
1,2000,36,.90053618,.30600968,1.9180943,.71727246
1,2001,36,.96734631,.36759242,2.1087275,.9084366
1,2002,36,1.0064001,.35226902,2.2252574,.88021791
1,2003,36,1.0417823,.34323162,2.2108991,.83812308
1,2004,36,1.0541048,.342686,2.2482686,.83897734
1,2005,37,1.1295481,.3669143,2.4606276,.93476564
1,2006,35,1.1016456,.37719858,2.3660221,.94974792
1,2007,32,1.1003144,.38658395,2.3196292,.97300678
1,2008,30,1.1662707,.34128118,2.441473,.92706031
1,2009,30,1.1969665,.30662036,2.5411162,.74810874
1,2010,26,1.2334328,.29887745,2.4936583,.82993436
1,2011,28,1.2999442,.30189854,2.7545886,1.0111679
1,2012,23,1.165218,.36322895,2.3561318,1.0645491
1,2013,28,1.2252195,.34806404,2.5598204,.97942346
1,2014,25,1.2703329,.3568587,2.6946721,1.0477107
1,2015,24,1.279307,.3568767,2.7399442,1.0504059
1,2016,27,1.3284042,.35317966,2.8657229,1.0528324
1,2017,27,1.2691334,.33715713,2.7210279,.90300477
1,2018,28,1.3263202,.31569579,2.9210551,.90695441
1,2019,27,1.340106,.31305957,2.9775012,.92020023
2,2000,15,1.33225,.17794749,3.0777149,.76033831
2,2001,15,1.3672159,.18787269,3.211267,.83823121
2,2002,15,1.3766162,.16342692,3.2594004,.79086298
2,2003,15,1.3253707,.20427951,2.985981,.82165152
2,2004,15,1.3253707,.20427951,2.9918549,.81906462
2,2005,14,1.333777,.20399366,3.0191064,.78059345
2,2006,16,1.38513,.1892103,3.1377532,.73284501
2,2007,19,1.4539495,.27761149,3.3151345,1.0189517
2,2008,21,1.5325236,.26165566,3.5045009,1.1511461
2,2009,21,1.6088792,.24868682,3.8405378,.96381557
2,2010,25,1.6114281,.25020716,3.6402035,1.1457096
2,2011,23,1.5696125,.35344565,3.6168268,1.3278669
2,2012,28,1.5337399,.32984552,3.4167728,1.3857117
2,2013,23,1.5905139,.32140523,3.7084987,1.3640648
2,2014,26,1.5914911,.3089624,3.6794062,1.2843347
2,2015,27,1.5923834,.29595006,3.7088156,1.2785131
2,2016,24,1.5820651,.30710927,3.6739423,1.3318599
2,2017,24,1.582365,.30474979,3.7200489,1.3623654
2,2018,23,1.5662291,.26976839,3.6735692,1.2102844
2,2019,24,1.5698789,.26728874,3.6887314,1.1917485
